Watching PID 518260 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.208       395.18     392.81     310.61
0.426       713.88     710.37     631.15
0.645       713.88     708.82     632.70
0.865       713.88     708.56     632.70
1.084       713.88     708.34     632.70
1.301       713.88     708.15     632.70
1.519       713.88     707.93     632.70
1.736       713.88     707.71     632.70
1.961       713.88     707.50     633.48
2.193       713.88     707.28     633.48
2.419       713.88     707.06     633.48
2.638       713.88     706.87     633.48
2.859       713.88     706.43     633.49
3.085       713.88     706.21     633.49
3.309       713.88     706.00     633.49
3.529       713.88     705.78     633.49
3.748       713.88     705.59     633.49
3.967       713.88     705.37     633.49
4.185       713.88     705.15     633.49
4.402       713.88     704.93     633.49
4.620       713.88     704.71     633.49
4.839       713.88     704.50     633.49
5.062       713.88     688.39     633.49
5.286       713.88     671.58     633.49
5.506       713.88     669.92     633.49
5.723       713.88     669.57     633.49
5.940       713.88     669.36     633.49
6.156       713.88     669.14     633.49
6.372       713.88     668.92     633.49
6.587       713.88     668.70     633.49
6.811       713.88     668.48     633.50
7.040       713.88     668.26     633.50
7.264       713.88     668.07     633.50
7.483       713.88     667.64     633.50
7.700       713.88     667.42     633.50
7.918       713.88     667.20     633.50
8.140       713.88     666.98     633.50
8.361       713.88     666.79     633.50
8.580       713.88     666.58     633.50
8.797       713.88     666.36     633.50
9.014       713.88     666.14     633.50
9.230       713.88     665.92     633.50
9.445       713.88     665.70     633.50
9.662       713.88     665.51     633.50
9.879       713.88     665.29     633.50
10.096      713.88     664.86     633.50
10.312      713.88     664.64     633.50
10.527      713.88     664.45     633.50
10.743      713.88     664.23     633.50
10.959      713.88     664.01     633.50
11.175      713.88     663.79     633.50
11.390      713.88     663.57     633.50
11.606      713.88     663.36     633.50
11.821      713.88     663.17     633.50
12.036      713.88     662.95     633.50
12.252      713.88     662.73     633.50
12.468      713.88     662.51     633.50
12.685      713.88     662.29     633.50
12.900      713.88     661.89     633.50
13.119      713.88     661.67     633.50
13.339      713.88     661.45     633.50
13.556      713.88     661.23     633.50
13.772      713.88     661.01     633.50
13.989      713.88     660.79     633.50
14.204      713.88     660.61     633.50
14.420      713.88     660.39     633.50
14.634      713.88     660.17     633.50
14.849      713.88     659.95     633.50
15.065      713.88     659.73     633.50
15.281      713.88     659.54     633.50
15.496      713.88     659.33     633.50
15.712      713.88     658.89     633.50
15.928      713.88     658.67     633.50
16.143      713.88     658.45     633.50
16.358      713.88     658.26     633.50
16.574      713.88     658.04     633.50
16.789      713.88     657.82     633.50
17.005      713.88     657.61     633.50
17.220      713.88     657.39     633.50
17.435      713.88     657.17     633.50
17.650      713.88     656.98     633.50
17.866      713.88     656.76     633.50
18.082      713.88     656.54     633.50
18.297      713.88     656.32     633.50
18.513      713.88     655.89     633.50
18.728      713.88     655.70     633.50
18.943      713.88     655.48     633.50
19.158      713.88     655.26     633.50
19.373      713.88     655.04     633.50
19.588      713.88     654.82     633.50
19.803      713.88     654.64     633.50
20.019      713.88     654.42     633.50
20.235      713.88     654.20     633.50
20.450      713.88     653.98     633.50
20.665      713.88     653.76     633.50
20.881      713.88     653.54     633.50
21.096      713.88     653.36     633.50
21.312      713.88     653.14     633.50
21.527      713.88     652.70     633.50
21.743      713.88     652.48     633.50
21.959      713.88     652.26     633.50
22.174      713.88     652.08     633.50
22.390      713.88     651.86     633.50
22.605      713.88     651.64     633.50
22.820      713.88     651.42     633.50
23.036      713.88     651.20     633.50
23.251      713.88     650.98     633.50
23.466      713.88     650.79     633.50
23.681      713.88     650.57     633.50
23.897      713.88     650.36     633.50
24.113      713.88     650.14     633.50
24.328      713.88     649.92     633.50
24.543      713.88     649.51     633.50
24.759      713.88     649.29     633.50
24.974      713.88     649.08     633.50
25.190      713.88     648.86     633.50
25.405      713.88     648.64     633.50
25.621      713.88     648.45     633.50
25.837      713.88     648.23     633.50
26.053      713.88     648.01     633.50
26.268      713.88     647.79     633.50
26.483      713.88     647.58     633.50
26.699      713.88     647.36     633.50
