Watching PID 1137538 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.209       410.60     408.00     310.99
0.428       714.21     709.13     617.92
0.648       714.21     708.90     617.92
0.868       714.21     708.68     617.92
1.086       714.21     708.49     618.00
1.303       714.21     708.28     618.63
1.522       714.21     708.06     618.63
1.741       714.21     707.84     618.63
1.959       714.21     707.62     618.63
2.176       714.21     707.43     618.63
2.393       714.21     707.21     618.63
2.610       714.21     706.99     618.63
2.838       714.21     706.78     618.88
3.073       714.21     706.34     618.88
3.299       714.21     706.15     618.88
3.520       714.21     705.93     618.88
3.741       714.21     705.71     618.88
3.961       714.21     705.50     618.88
4.180       714.21     705.28     618.88
4.399       714.21     705.06     618.88
4.617       714.21     704.87     618.88
4.835       714.21     704.65     618.88
5.057       714.21     696.12     618.88
5.285       714.21     671.37     618.88
5.513       714.21     669.38     618.88
5.741       714.21     668.33     618.88
5.969       714.21     667.20     618.88
6.197       714.21     666.62     618.88
6.424       714.21     666.04     618.88
6.653       714.21     664.27     618.88
6.881       714.21     663.68     618.88
7.108       714.21     663.10     618.88
7.336       714.21     662.45     618.88
7.564       714.21     660.93     618.88
7.793       714.21     660.34     618.88
8.021       714.21     659.79     618.88
8.247       714.16     658.57     618.88
8.476       714.16     657.40     618.88
8.704       714.16     656.87     618.88
8.932       714.16     656.34     618.88
9.160       714.16     655.43     618.88
9.389       714.16     654.31     618.88
9.618       714.16     653.74     618.88
9.846       714.16     653.21     618.88
10.073      714.16     652.27     618.88
10.300      714.16     650.96     618.88
10.528      714.16     650.42     618.88
10.756      714.16     649.89     618.88
10.985      714.16     649.36     618.88
11.211      714.16     647.89     618.88
11.437      708.42     641.74     618.87
11.665      708.42     641.52     618.87
11.892      708.42     641.08     618.87
12.120      708.42     640.86     618.87
12.347      698.16     630.38     646.70
12.573      657.48     589.71     655.45
12.800      657.48     589.71     655.45
13.025      657.48     589.71     655.45
13.250      657.48     589.71     655.45
13.476      657.48     589.71     655.45
13.702      657.48     589.71     655.45
13.927      657.45     589.70     655.42
14.144      152.71      92.28     150.68
14.351      110.04      49.62     108.01
14.558      110.04      49.62     108.01
14.764      110.04      49.62     108.01
14.970      110.04      49.62     108.01
15.177      110.04      49.62     108.01
15.383      110.04      49.62     108.01
15.591      110.04      49.62     108.01
15.799      110.04      49.62     108.01
16.006      110.04      49.62     108.01
16.213      110.04      49.62     108.01
16.419      110.04      49.62     108.01
16.626      110.04      49.62     108.01
16.832      110.04      49.62     108.01
17.038      110.04      49.62     108.01
17.244      110.04      49.62     108.01
17.450      110.04      49.62     108.01
17.657      110.04      49.62     108.01
17.863      110.04      49.62     108.01
18.069      110.04      49.62     108.01
18.274      110.04      49.62     108.01
18.480      110.04      49.62     108.01
18.686      110.04      49.62     108.01
18.893      110.04      49.62     108.01
19.099      110.04      49.62     108.01
19.305      110.04      49.62     108.01
19.511      110.04      49.62     108.01
19.717      110.04      49.62     108.01
19.923      110.04      49.62     108.01
20.130      110.04      49.62     108.01
20.336      110.04      49.62     108.01
20.542      110.04      49.62     108.01
20.749      110.04      49.62     108.01
20.955      110.04      49.62     108.01
21.161      110.04      49.62     108.01
21.367      110.04      49.62     108.01
21.573      110.04      49.62     108.01
21.780      110.04      49.62     108.01
21.986      110.04      49.62     108.01
22.192      110.04      49.62     108.01
22.398      110.04      49.62     108.01
22.604      110.04      49.62     108.01
22.811      110.04      49.62     108.01
23.019      110.04      49.62     108.01
23.226      110.04      49.62     108.01
23.432      110.04      49.62     108.01
23.638      110.04      49.62     108.01
23.845      110.04      49.62     108.01
24.051      110.04      49.62     108.01
24.257      110.04      49.62     108.01
24.463      110.04      49.62     108.01
24.669      110.04      49.62     108.01
24.876      110.04      49.62     108.01
25.082      110.04      49.62     108.01
25.288      110.04      49.62     108.01
25.494      110.04      49.62     108.01
25.701      110.04      49.62     108.01
25.907      110.04      49.62     108.01
26.113      110.04      49.62     108.01
26.319      110.04      49.62     108.01
26.525      110.04      49.62     108.01
26.732      110.04      49.62     108.01
26.938      110.04      49.62     108.01
27.144      110.04      49.62     108.01
27.350      110.04      49.62     108.01
27.556      110.04      49.62     108.01
27.763      110.04      49.62     108.01
27.969      110.04      49.62     108.01
28.175      110.04      49.62     108.01
28.380      110.04      49.62     108.01
28.585      110.04      49.62     108.01
28.791      110.02      49.59     107.98
28.997      110.02      49.59     107.98
29.203      110.02      49.59     107.98
29.408      110.02      49.59     107.98
29.615      110.02      49.59     107.98
29.823      110.02      49.59     107.98
30.030      110.02      49.59     107.98
30.236      110.02      49.59     107.98
30.443      110.02      49.59     107.98
30.649      110.02      49.59     107.98
30.855      110.02      49.59     107.98
31.062      110.02      49.59     107.98
31.268      110.02      49.59     107.98
31.474      110.02      49.59     107.98
31.680      110.02      49.59     107.98
31.887      110.02      49.59     107.98
32.093      110.02      49.59     107.98
32.299      110.02      49.59     108.05
32.505      110.02      49.59     108.05
32.712      110.02      49.59     108.05
32.918      110.02      49.59     108.05
33.125      110.02      49.59     108.05
33.331      110.01      49.59     108.05
33.537      110.01      49.59     108.05
33.743      110.01      49.59     108.05
33.950      110.01      49.59     108.05
34.156      110.01      49.59     108.05
34.362      110.01      49.59     108.05
34.568      110.01      49.59     108.05
34.775      110.01      49.59     108.05
34.981      110.01      49.59     108.05
35.188      110.01      49.59     108.05
35.394      110.01      49.59     108.05
35.600      110.01      49.59     108.05
35.806      110.01      49.59     108.05
36.013      110.01      49.59     108.05
36.219      110.01      49.59     108.05
36.425      110.01      49.59     108.05
36.631      110.01      49.59     108.05
36.839      110.01      49.59     108.05
37.047      110.01      49.59     108.05
37.254      110.01      49.59     108.05
37.461      110.01      49.59     108.05
37.667      110.01      49.59     108.05
37.873      110.01      49.59     108.05
38.079      110.01      49.59     108.05
38.286      110.01      49.59     108.05
38.492      110.01      49.59     108.05
38.698      110.01      49.59     108.05
38.905      110.01      49.59     108.05
