Watching PID 2931942 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.208       384.32     381.82     295.36
0.428       714.02     711.52     625.61
0.650       714.09     709.03     628.55
0.873       714.09     708.59     628.55
1.095       714.09     708.41     628.55
1.316       714.09     708.19     628.55
1.537       714.09     707.97     628.55
1.756       714.09     707.75     628.55
1.985       714.09     707.53     629.34
2.220       714.09     707.31     629.34
2.446       714.09     707.12     629.34
2.666       714.09     706.68     629.34
2.886       714.09     706.47     629.34
3.112       714.09     706.25     629.34
3.343       714.09     706.06     629.34
3.567       714.09     705.84     629.34
3.792       714.09     705.62     629.34
4.019       714.09     705.41     629.40
4.244       714.09     705.19     629.40
4.465       714.09     704.97     629.40
4.684       714.09     704.56     629.40
4.902       714.09     704.34     629.40
5.124       714.09     676.02     629.41
5.347       714.09     670.24     629.41
5.567       714.09     669.62     629.41
5.784       714.09     669.29     629.41
6.002       714.09     668.98     629.41
6.224       714.09     668.70     629.41
6.454       714.09     668.37     629.41
6.681       714.09     668.06     629.41
6.904       714.09     667.55     629.41
7.127       714.09     667.07     629.41
7.349       714.09     666.29     629.41
7.567       714.09     665.63     629.41
7.785       714.09     665.34     629.41
8.002       714.09     665.06     629.41
8.222       714.09     664.75     629.41
8.443       714.09     664.43     629.41
8.662       714.09     664.15     629.41
8.879       714.09     663.82     629.41
9.096       714.09     663.32     629.41
9.312       714.09     663.04     629.41
9.529       714.09     662.72     629.41
9.745       714.09     662.41     629.41
9.962       714.09     662.11     629.41
10.179      714.09     661.77     629.41
10.396      714.09     661.40     629.41
10.612      714.09     660.60     629.41
10.827      714.09     659.95     629.41
11.043      714.09     659.59     629.41
11.259      714.09     659.28     629.41
11.475      714.09     659.00     629.41
11.692      714.09     658.71     629.41
11.909      714.09     658.18     629.41
12.125      714.09     657.90     629.41
12.342      714.09     657.57     629.41
12.558      714.09     657.26     629.41
12.773      714.09     657.00     629.41
