34397524,3.37887e+06,812524,47610.6
34883656,3.31604e+06,2392964,64750.8
34480208,3.37381e+06,10821456,127834
36600736,3.39873e+06,4161532,75839.3
34487104,3.37385e+06,7146160,98525.7
34487672,3.38269e+06,8909744,116734
35739576,3.39969e+06,13073816,172886
34428292,3.37662e+06,5605652,89659.6
34974232,3.38542e+06,14271028,157458
35017464,3.38052e+06,2868148,82622.5
34448624,3.29277e+06,1558372,61772.3
35684484,3.40299e+06,12230516,164873
34679412,3.34308e+06,2502748,71236.5
34599588,3.38534e+06,3952248,83269.9
34539860,3.38313e+06,5740088,94189.1
34588296,3.28567e+06,945492,58307.4
34397668,3.36586e+06,965628,54912.8
36606232,3.41145e+06,4686904,97489.1
34563800,3.3758e+06,979296,58154.6
34407732,3.38418e+06,5011660,88489
34398968,3.38467e+06,12199408,145967
34401620,3.15938e+06,1265092,63281
