34397516,2.56842e+06,992644,36355.5
34447912,3023240,812512,37722.9
34411220,2.9316e+06,1142204,42037.2
34629948,3.02791e+06,1401328,49202.6
34442080,3.00815e+06,812428,41063.7
34406524,3.0458e+06,956276,43501.6
34448256,2.99018e+06,1242412,42873.5
34403300,2.81786e+06,812172,38742.4
34528432,2.77591e+06,1558104,45824.6
34468324,2.74406e+06,1227324,39606.8
34403996,2.79769e+06,812464,36327.6
34531628,2.77634e+06,1288132,45252.3
34431536,2.6697e+06,812524,36603.4
34418672,2.79996e+06,812248,38757
34419164,2.77997e+06,812588,39653.9
34404296,2.71111e+06,812444,37369.1
34397660,2.72821e+06,812468,36936.3
34770140,2.74026e+06,1581812,47451.8
34414460,2.70365e+06,985092,41647.6
34399532,2.73291e+06,812212,39302.1
34398224,2.75054e+06,1277428,44558.9
34396644,2.50194e+06,812520,41971.9
