Watching PID 2148422 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.209       386.07     381.79       2.65
0.421       386.07     381.79       2.67
0.633       386.07     381.79       2.67
0.844       386.07     381.79       2.67
1.056       386.07     381.79       2.67
1.269       386.07     381.79       2.67
1.481       386.07     381.79       2.67
1.696       386.07     381.79       2.67
1.919       386.07     381.79       2.67
2.142       638.23     633.80     265.96
2.368       663.43     659.00     291.16
2.599       689.44     685.01     317.17
2.832       715.48     711.05     343.21
3.065       741.48     737.05     369.21
3.296       767.36     762.93     395.09
3.524       792.98     788.55     420.71
3.748       817.03     812.60     444.76
3.972       842.19     837.76     469.98
4.201      1285.12    1280.69     912.93
4.434      1439.31    1434.88    1067.12
4.669      1465.06    1460.63    1092.87
4.911      1491.06    1486.63    1118.87
5.153      1518.06    1513.63    1145.87
5.402      1545.30    1540.87    1173.11
5.654      1574.06    1569.63    1201.87
5.898      1600.76    1596.33    1228.57
6.142      1627.81    1623.38    1255.62
6.385      1654.87    1650.44    1282.68
6.623      1681.06    1676.63    1308.87
6.865      1708.32    1703.89    1336.13
7.109      1735.18    1730.76    1363.00
7.351      1762.43    1758.01    1390.25
7.591      1788.93    1784.51    1416.75
7.834      1816.02    1811.60    1443.84
8.072      1842.62    1838.19    1470.43
8.314      1865.02    1860.59    1492.88
8.565      2393.09    2388.67    2020.96
8.820      2537.99    2533.56    2165.85
9.076      2658.79    2654.36    2286.68
9.333      2710.96    2706.54    2338.86
9.587      2738.96    2734.54    2366.86
9.842      2767.21    2762.79    2395.11
10.098     2795.84    2791.41    2423.73
10.354     2824.21    2819.79    2452.11
10.609     2852.59    2848.16    2480.48
10.863     2881.21    2876.79    2509.11
11.118     2909.09    2904.66    2536.98
11.372     2937.46    2933.04    2565.36
11.627     2965.71    2961.29    2593.61
11.880     2993.96    2989.54    2621.86
12.136     3022.09    3017.66    2649.98
12.392     3050.84    3046.41    2678.73
12.648     3079.34    3074.91    2707.23
12.904     3107.59    3103.16    2735.48
13.163     3135.96    3131.54    2763.86
13.422     3165.09    3160.66    2792.98
13.680     3193.59    3189.16    2821.48
13.941     3222.71    3218.29    2850.61
14.200     3251.46    3247.04    2879.36
14.458     3279.96    3275.54    2907.86
14.715     3308.59    3304.16    2936.48
14.973     3337.46    3333.04    2965.36
15.231     3366.21    3361.79    2994.11
15.488     3395.18    3390.76    3023.07
15.746     3423.21    3418.79    3051.11
16.004     3451.84    3447.41    3079.73
16.264     3480.84    3476.41    3108.73
