timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
0.201519410,9870627,1086698,0,7484529,929576,0
0.303360534,10197815,1104807,0,7512240,893552,0
0.404858381,10010150,1083281,0,7411590,869508,0
0.505828391,15589535,1310016,0,12628075,1690161,0
0.606690893,19861115,2291885,0,18534214,1742960,0
0.708336172,11098340,1328693,0,10610926,1076814,0
0.809947061,13455114,1365433,0,8445172,1124445,0
0.910894962,17147155,1534071,0,15781185,2151726,0
1.011797532,15240340,1907424,0,18894726,1777633,0
1.113162695,14120776,2744105,0,20461650,2444886,0
1.214648053,11699311,3643797,0,16670961,4625832,0
1.315853997,14853300,2419323,0,24147259,2616112,0
1.417017819,17851216,1508751,0,10303276,1282918,0
1.518208668,5938999,1079820,0,4413835,687667,0
1.619454294,5983054,1079596,0,5002433,752350,0
1.720865076,13067083,994752,0,6978015,1052670,0
1.821468224,17947821,824133,0,11263877,891707,0
1.922562963,5400757,50674,0,5366159,98439,0
2.024218895,11314754,1022003,0,16695395,558119,0
2.125077657,8338177,197369,0,10070892,81275,0
2.225977240,2679679,91492,0,8948185,8081,0
2.327296005,6781782,268448,0,4950732,313429,0
2.428282787,8931249,116062,0,7601823,148993,0
2.528922252,6206292,82174,0,5921150,60099,0
2.629507714,4953666,186187,0,401039,75285,0
2.730049626,9447273,298843,0,581265,177518,0
2.830943647,2956779,278853,0,1755223,74619,0
2.931851552,3031670,298102,0,3345215,31035,0
3.032712138,3180245,393819,0,20842,2005,0
3.133632006,4445878,1288628,0,17361,10217,0
3.234560841,5149223,1653399,0,1305,3013,0
3.335485476,4686593,1385029,0,25023,8144,0
3.436419107,4820133,1590827,0,1588,663,0
3.537157357,4145080,971729,0,1373,1072,0
3.638044976,3150859,388924,0,13102,1930,0
3.738946221,3193994,393367,0,33749,2676,0
3.839808867,3128622,389616,0,8383,612,0
3.940679216,3216462,355241,0,479,140,0
4.041540055,3129014,377608,0,45,122,0
4.142421553,3260790,396736,0,17104,2288,0
4.243330075,3101207,383693,0,513,145,0
4.344188237,3048004,352436,0,9900,3009,0
