Watching PID 974376 page references for every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.218       459.30     455.56       1.88
0.216       459.30     455.56       2.54
0.216       459.30     455.56       0.24
0.212       459.30     455.56       0.24
0.216       459.30     455.56       0.24
0.217       459.30     455.56       2.39
0.217       459.30     455.56       0.73
0.217       459.30     455.56       2.52
0.222       869.41     865.55     427.04
0.241      1719.15    1715.28     875.83
0.255      1986.15    1982.29     276.70
0.278      2111.75    2107.88     135.52
0.258      2220.63    2216.76      85.55
0.258      2259.02    2255.16      48.54
0.266      2297.94    2294.08      50.03
0.259      2362.11    2358.24      73.95
0.261      2418.71    2414.85      71.89
0.271      2489.71    2485.85      90.02
0.265      2562.35    2558.48      74.17
0.265      2614.61    2610.74      59.54
0.265      2650.90    2647.04      48.28
0.267      2720.06    2716.20     107.73
0.269      2779.70    2775.83     136.29
0.278      2795.32    2791.46      62.28
0.281      2833.76    2829.89      63.74
0.273      2850.82    2846.96      51.12
0.272      2847.18    2843.32      76.26
0.273      2947.32    2943.46     113.77
0.288      2988.63    2984.77      97.65
0.275      3041.32    3037.45     121.15
0.278      3065.08    3061.21      64.26
0.282      3089.52    3085.66      60.62
0.278      3125.47    3121.61      74.79
0.280      3145.84    3141.98      53.56
0.278      3163.82    3159.95      53.12
0.280      3254.17    3250.30     145.25
0.283      3416.65    3412.79     227.06
0.285      3469.80    3465.94      87.67
0.285      3509.14    3505.28      53.04
0.288      3541.55    3537.69      53.08
0.288      3577.59    3573.72      52.76
0.289      3614.41    3610.55      52.84
0.291      3651.11    3647.25      53.09
0.291      3688.12    3684.25      53.47
0.291      3725.63    3721.77      53.74
0.293      3773.15    3769.29      64.66
0.295      3819.77    3815.91      65.39
0.311      3920.50    3916.64     124.01
0.339      3986.25    3982.38      81.62
0.340      4015.04    4011.17      71.80
0.324      4036.38    4032.52      57.27
0.343      4058.53    4054.66      66.34
0.363      4075.70    4071.84      66.50
0.370      4103.18    4099.31      67.54
0.342      4126.71    4122.85      62.46
0.343      4152.62    4148.75      66.65
0.368      4178.31    4174.45      66.96
0.350      4201.14    4197.27      63.12
0.322      4224.64    4220.78      62.04
0.320      4250.35    4246.49      61.71
0.320      4274.22    4270.36      61.38
0.325      4298.99    4295.12      63.27
0.323      4327.35    4323.49      73.28
0.319      4351.05    4347.18      61.62
0.326      4375.07    4371.20      63.69
0.319      4397.16    4393.30      61.52
0.325      4420.17    4416.30      62.88
0.321      4444.50    4440.64      62.04
0.320      4467.11    4463.25      61.30
0.327      4490.59    4486.72      62.38
0.327      4514.42    4510.56      62.96
0.320      4539.13    4535.27      62.96
0.327      4606.51    4602.65     188.45
0.314      4714.78    4710.92     352.75
0.309      4828.61    4824.75     186.75
0.315      4850.09    4846.23      58.59
0.311      4872.65    4868.79      57.86
0.310      4895.32    4891.46      57.96
0.311      4916.64    4912.78      58.42
0.327      4955.32    4951.46     103.42
0.326      5005.08    5001.22     159.92
0.311      5049.94    5046.08      56.27
0.329      5072.63    5068.77      59.44
0.311      5095.25    5091.39      56.91
0.312      5116.77    5112.91      57.42
0.314      5139.68    5135.81      57.88
0.314      5161.09    5157.23      57.26
0.314      5183.46    5179.60      58.17
0.314      5204.92    5201.05      57.06
0.315      5227.84    5223.98      58.38
0.314      5247.64    5243.78      56.32
0.315      5271.62    5267.76      57.52
0.314      5294.37    5290.50      58.14
0.315      5314.57    5310.70      57.47
0.316      5336.90    5333.04      57.16
0.316      5377.07    5373.21     113.38
0.317      5449.41    5445.55     107.20
0.321      5562.79    5558.93     254.98
0.311      4710.84    4706.98     196.85
0.305      4762.77    4758.91     110.68
0.305      4809.05    4805.18      68.02
