timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_LOOKUP,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_LOOKUP
0.408711747,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
0.609380112,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
0.809957865,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
1.010563550,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,351872,0
1.211183690,26297,0,876275,0
1.411689067,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
1.612499503,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
1.813224208,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
2.013727734,320352,0,162283,0
2.214201734,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
2.414750500,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
2.615263340,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
2.815830669,17058,0,301609,0
3.016332796,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
3.216984828,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
3.417519382,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
3.618027979,30169,0,79752,0
3.818615248,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC,#NC#NC#NC#NC#NC#NC#NC#NC
