Watching PID 2121559 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.209       365.30     361.01       2.67
0.422       365.30     361.01       2.67
0.634       365.30     361.01       2.67
0.845       365.30     361.01       2.67
1.058       365.30     361.01       2.67
1.271       365.30     361.01       2.67
1.483       365.30     361.01       2.68
1.696       365.30     361.01       2.68
1.911       365.30     361.01       2.68
2.127       367.41     362.97      16.82
2.341       394.25     389.82      44.00
2.555       418.05     413.62      67.89
2.768       443.12     438.69      92.98
2.982       467.07     462.64     116.93
3.196       492.23     487.80     142.11
3.411       519.85     515.42     169.82
3.626       551.00     546.56     200.98
3.845       585.22     580.79     235.36
4.065       576.34     571.91     226.65
4.287       576.45     571.98     226.89
4.515       576.45     571.98     226.89
4.740       576.45     570.59     227.21
4.959       584.37     577.70     563.18
ERROR: can't open /proc/2121559/smaps: No such file or directory at ../wss.pl line 226.
