timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
0.200899897,86202,12728,0,2758726,233703,0
0.301545317,313638,28284,0,2674812,268387,0
0.402232296,199818,4861,0,455832,51905,0
0.503158719,213378,3930,0,326080,56050,0
0.604091692,225266,3374,0,335180,58606,0
0.705022932,226632,3297,0,339769,57289,0
0.805939955,237633,3163,0,337567,59990,0
0.906655881,99642,2083,0,336933,60880,0
1.007389258,59716,1790,0,355281,64836,0
1.108271625,55679,1737,0,336325,59649,0
1.209161131,148547,7057,0,311457,46628,0
1.309854716,102676,8130,0,306628,54458,0
1.410792389,27070,3123,0,375731,59918,0
1.511707122,72600,4467,0,332557,51143,0
1.612616242,20781,1849,0,351787,59591,0
1.713517335,68554,4232,0,297778,48695,0
1.814133051,305516,32647,0,439324,81164,0
1.915000711,172809,20637,0,409538,54949,0
2.015914831,53402,5251,0,336753,58041,0
2.116835086,42067,3877,0,319404,51425,0
2.217761817,54632,3860,0,326180,49652,0
2.318654717,39621,2605,0,353606,61101,0
2.419573610,37106,1854,0,337492,59807,0
2.520481360,34535,1689,0,339415,58645,0
2.621405373,31365,1542,0,357167,59725,0
2.722369059,95117,5468,0,306188,43150,0
2.823248052,26318,2435,0,464245,80157,0
2.924180059,143645,17001,0,6778984,583865,0
3.025165045,116266,25651,0,5521871,687631,0
3.126136411,96572,36261,0,3658355,491094,0
3.227037809,84100,29627,0,3503100,460710,0
3.328126027,103448,40520,0,3783608,523646,0
3.428976326,368356,504709,0,7054919,491107,0
3.529843006,385636,572831,0,549560,408057,0
3.630465232,306068,444398,0,322001,391534,0
3.731097893,71323,34906,0,122852,90872,0
3.832303177,937654,126422,0,723961,218614,0
3.933405827,10115297,1111380,0,7558335,933110,0
4.034605606,10086844,1117735,0,7607445,932249,0
4.135822623,10189974,1128781,0,7759698,964778,0
4.237073366,9928074,1087512,0,7707340,938304,0
4.338376989,9822493,1088423,0,7506493,925094,0
4.439609176,9891484,1091427,0,7723579,951933,0
4.540819007,10268368,1145928,0,7779784,964446,0
4.641919462,6512679,1203047,0,21849569,2258944,0
4.743008067,4752202,483815,0,5493432,355636,0
4.844100344,4848035,511584,0,5425810,325859,0
4.945250175,4868462,532011,0,5407496,463648,0
5.046314132,7800694,1158938,0,6663239,803244,0
5.147162499,4838415,2540205,0,10624744,1775905,0
5.248052841,2402839,297052,0,1022481,249590,0
5.348895338,2824817,317936,0,43041,3999,0
5.449751715,2292037,196480,0,38455,3685,0
5.550843583,681652,13797,0,48815,4123,0
5.651957058,689861,11748,0,50821,3949,0
5.752978970,6631200,82372,0,31553,4878,0
5.853581781,315208,38561,0,91652,7774,0
5.954629560,399481,22218,0,383014,25530,0
6.055664084,41954,613,0,37120,2309,0
6.156691049,18363,329,0,48606,2328,0
6.257711377,24029,475,0,62776,3589,0
6.358746131,26435,737,0,49540,2188,0
6.459558460,49433,3134,0,38679,2152,0
6.560142236,9583354,197184,0,10089432,286680,0
6.660864281,5681788,38680,0,5406470,20826,0
6.763156085,24554441,1231770,0,22744770,1219995,0
6.875230771,20318510,510698,0,15502904,650592,0
6.976276173,14369516,43506,0,6213339,112578,0
7.077449631,9344112,152789,0,11067247,81809,0
7.178605835,4908533,40581,0,10569068,5954,0
7.279528538,430278,1167,0,120436,670,0
7.380651999,326247,1334,0,84026,307,0
7.481692723,122951,711,0,264757,536,0
7.582680547,91894,2413,0,211639,6947,0
7.683823218,2656,226,0,4540,321,0
7.784971052,156,49,0,758,86,0
7.886136607,895,155,0,412,78,0
7.987316652,3876,213,0,1177,92,0
7.987316652,73316,5133,0,54782,9606,0
