Watching PID 2458788 page references for every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.212       459.00     451.72       0.25
0.210       459.00     451.72       2.34
0.210       459.00     451.72       0.24
0.211       459.00     451.66       0.25
0.211       459.00     451.66       0.24
0.212       459.00     451.66       0.24
0.213       459.00     454.47       2.88
0.211       459.00     454.47       0.24
0.214       459.82     455.14       7.63
0.232      1394.44    1389.77     944.10
0.250      1161.89    1157.21     955.03
0.276      1712.48    1707.80    1000.32
0.268      2025.66    2020.99     294.89
0.266      2036.85    2032.17      58.07
0.267      2045.68    2041.00      57.87
0.265      2073.25    2068.57     105.93
0.268      1109.23    1104.56      89.75
0.267      1108.81    1104.14      65.79
0.268      1144.07    1139.39      56.93
0.272      1151.63    1146.96      58.84
0.277      1160.66    1155.98      61.34
0.269      1162.12    1157.45      57.36
0.275      1269.25    1264.58     265.71
0.285      1365.02    1360.35     257.73
0.280      1407.49    1402.82     176.68
0.283      1410.74    1406.07      59.20
0.278      1414.17    1409.50      59.07
0.283      1418.53    1413.86      60.26
0.284      1422.53    1417.86      59.93
0.276      1425.13    1420.45      58.43
0.278      1432.43    1427.75      60.51
0.274      1445.18    1440.50     102.00
0.274      1450.32    1445.65      58.57
0.279      1455.24    1450.57      59.31
0.278      1459.98    1455.30      59.43
0.276      1465.17    1460.49      59.33
0.279      1481.88    1477.20     105.96
0.277      1491.34    1486.67      64.71
0.276      1502.99    1498.32      98.59
0.280      1509.07    1504.40      59.83
0.296      1515.28    1510.60      63.62
0.310      1519.78    1515.11      62.22
0.311      1520.69    1516.01      63.05
0.312      1520.56    1515.88      63.32
0.316      1532.02    1527.34      63.79
0.313      1548.95    1544.28      62.69
0.315      1567.54    1562.86      62.96
0.317      1585.84    1581.17      63.80
0.314      1601.90    1597.23      62.54
0.317      1640.63    1635.96     106.58
0.320      1657.66    1652.98      63.79
0.320      1691.91    1687.23     107.14
0.325      1710.65    1705.97      64.12
0.321      1750.76    1746.09     108.19
0.335      1766.46    1761.79      63.24
0.325      1815.36    1810.69     106.38
0.325      1814.98    1810.30      62.16
0.324      1827.69    1823.02      62.09
0.321      1910.21    1905.54     193.43
0.324      1978.21    1973.54     220.61
0.327      1982.88    1978.21      60.39
0.325      1991.45    1986.78      60.35
0.326      1997.43    1992.75      60.66
0.326      2004.42    1999.74      60.67
0.327      2010.62    2005.95      60.40
0.328      2012.42    2007.75     104.39
0.326      2013.78    2009.10      60.09
0.326      2013.09    2008.42      60.02
0.327      2012.34    2007.67      60.48
0.329      2012.13    2007.45      60.82
0.329      2010.65    2005.98      60.28
0.326      2009.34    2004.67      60.17
0.330      2010.38    2005.71      60.62
0.328      2009.66    2004.99      60.37
0.333      2009.17    2004.50      60.96
0.330      2009.24    2004.56      61.03
0.332      2009.25    2004.57      61.54
0.326      2008.55    2003.88      60.35
0.330      2008.17    2003.49      61.01
0.330      2007.82    2003.15      60.63
0.331      2008.39    2003.72      60.39
0.326      2008.02    2003.34      60.02
0.333      2007.94    2003.27      61.07
0.350      2007.43    2002.75      60.35
0.351      2007.80    2003.12      60.84
0.347      2007.79    2003.12      61.24
0.352      2007.85    2003.17      61.04
0.354      2007.42    2002.75      61.03
0.352      2007.36    2002.69      60.72
0.345      2007.64    2002.96      61.15
0.340      2007.07    2002.40      60.50
0.353      2007.21    2002.54      61.07
0.341      2006.34    2001.67      60.68
0.345      2007.06    2002.38      61.48
0.334      2007.04    2002.36      61.44
0.352      2006.81    2002.13      60.84
0.345      2006.97    2002.30      60.66
0.342      2006.66    2001.98      61.49
0.348      2007.21    2002.54      61.44
0.354      2006.32    2001.65      61.05
0.350      2006.34    2001.66      61.40
0.346      2006.50    2001.83      60.39
0.330      2006.22    2001.55      60.70
0.327      2005.95    2001.27      60.37
0.328      2006.07    2001.39      60.27
0.327      2005.80    2001.13      60.37
0.328      2005.94    2001.26      60.55
0.334      2005.99    2001.31      60.97
0.346      2005.96    2001.29      60.90
0.334      2005.41    2000.73      60.85
0.348      2005.70    2001.02      60.80
0.334      2005.33    2000.66      61.14
0.352      2005.11    2000.43      60.85
0.335      2005.34    2000.67      60.86
0.350      2005.62    2000.95     121.49
0.340      1999.02    1994.34     755.19
0.356      1954.20    1949.53     499.57
0.342      1990.36    1985.68      66.35
0.359      1980.53    1975.86      67.05
0.341      1981.47    1976.80      66.36
0.358      1979.84    1975.17      66.51
0.341      1983.60    1978.93      66.62
0.355      1991.43    1986.75     111.26
0.344      1983.41    1978.73     199.57
0.362      1994.08    1989.41     284.36
0.348      1988.96    1984.29      75.19
0.364      1987.15    1982.48      71.82
0.347      1985.91    1981.24      71.55
0.360      1984.14    1979.46      71.79
0.348      1979.64    1974.96     138.96
0.364      1985.75    1981.07      72.61
0.349      1981.30    1976.62      73.13
0.370      1981.71    1977.04      73.55
