Watching PID 2192839 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.210       385.61     381.29       2.46
0.424       385.61     381.29       2.47
0.636       385.61     381.29       2.47
0.849       385.61     381.29       2.47
1.062       385.61     381.29       2.47
1.276       385.61     381.29       2.47
1.490       385.61     381.29       2.47
1.704       385.61     381.29       2.47
1.918       385.61     381.29       2.47
2.133       532.80     528.34     160.38
2.352       657.73     653.27     285.33
2.573       682.11     677.65     309.71
2.795       706.23     701.77     333.83
3.019       730.86     726.40     358.46
3.247       755.73     751.27     383.33
3.482       781.73     777.27     409.33
3.718       807.86     803.40     435.46
3.954       833.91     829.45     461.50
4.201       861.58     857.12     489.18
4.453       889.36     884.90     516.96
4.705       917.23     912.77     544.83
4.956       945.14     940.68     572.74
5.203       971.86     967.40     599.46
5.447       999.23     994.77     626.83
5.693      1026.20    1021.74     653.79
5.938      1053.11    1048.65     680.71
6.188      1081.23    1076.77     708.83
6.447      1109.61    1105.15     737.21
6.702      1137.61    1133.15     765.21
6.950      1164.16    1159.70     791.76
7.197      1191.98    1187.52     819.64
7.449      1219.11    1214.65     846.77
7.700      1247.73    1243.27     875.39
7.949      1274.98    1270.52     902.64
8.197      1302.61    1298.15     930.27
8.442      1365.05    1360.59     992.73
8.690      1392.80    1388.34    1020.48
8.942      1424.35    1420.00    1053.99
9.204      1461.93    1457.58    1091.60
9.469      1495.76    1491.40    1125.42
9.729      1524.83    1520.48    1154.50
9.991      1554.33    1549.98    1184.00
10.255     1583.27    1578.92    1212.93
10.518     1613.08    1608.73    1242.75
10.781     1642.46    1638.10    1272.12
11.041     1670.96    1666.60    1300.62
11.301     1700.46    1696.10    1330.12
11.562     1729.08    1724.73    1358.75
11.820     1758.08    1753.73    1387.75
12.075     1786.46    1782.10    1416.12
12.329     1814.71    1810.35    1444.37
12.590     1844.58    1840.23    1474.25
12.857     1874.46    1870.10    1504.12
13.138     1907.33    1902.98    1537.00
13.433     1940.21    1935.85    1569.87
13.721     1971.58    1967.35    1601.25
13.995     2001.71    1997.48    1631.37
14.280     2034.71    2030.48    1664.37
14.574     2067.33    2063.10    1697.00
14.862     2098.58    2094.35    1728.25
15.148     2130.96    2126.73    1760.62
15.446     2165.21    2160.98    1794.87
15.758     2199.33    2195.10    1829.00
16.058     2231.96    2227.73    1861.62
16.340     2263.21    2258.98    1892.87
16.619     2294.96    2290.73    1924.62
16.893     2325.33    2321.10    1955.00
17.165     2355.83    2351.60    1985.50
17.438     2386.33    2382.10    2016.00
17.706     2415.21    2410.98    2044.87
17.973     2446.11    2441.88    2075.77
18.255     2478.58    2474.35    2108.25
18.543     2509.96    2505.73    2139.62
18.824     2541.33    2537.10    2171.00
19.131     2562.40    2558.17    2197.46
19.446     2574.07    2569.84    2235.76
19.742     2607.32    2603.09    2269.05
20.034     1953.63    1949.40    1615.36
20.335     1988.16    1983.93    1649.93
20.632     2040.41    2036.18    1702.21
20.927     2073.91    2069.68    1735.71
21.243     2112.87    2108.64    1774.70
21.549     2151.79    2147.57    1813.63
21.853     2189.67    2185.44    1851.52
22.175     2225.30    2221.07    1887.14
22.481     2259.55    2255.32    1921.39
22.776     2292.49    2288.26    1954.34
23.069     2324.92    2320.69    1986.77
23.353     2356.80    2352.57    2018.64
23.633     2388.17    2383.94    2050.02
23.918     2420.30    2416.07    2082.14
24.220     2454.17    2449.94    2116.02
24.524     2488.17    2483.94    2150.02
24.823     2521.17    2516.94    2183.02
25.118     2553.42    2549.19    2215.27
25.410     2585.80    2581.57    2247.64
25.705     2618.80    2614.57    2280.64
25.998     2651.30    2647.07    2313.14
26.288     2683.67    2679.44    2345.52
26.580     2719.82    2715.59    2381.76
26.860     2802.21    2797.99    2464.16
27.127     2860.64    2856.42    2522.63
27.395     2892.09    2887.86    2554.07
27.669     2936.95    2932.72    2598.93
27.947     2972.91    2968.68    2634.89
28.227     3003.64    2999.41    2665.62
28.508     3034.64    3030.41    2696.62
28.790     3063.68    3059.45    2725.66
29.071     3096.05    3091.82    2758.04
29.350     3126.57    3122.35    2788.56
29.641     3158.93    3154.70    2820.91
29.947     3192.93    3188.70    2854.91
30.255     3227.93    3223.70    2889.91
30.554     3261.30    3257.08    2923.29
30.844     3293.55    3289.33    2955.54
31.136     3325.93    3321.70    2987.91
31.429     3358.30    3354.08    3020.29
31.721     3390.80    3386.58    3052.79
32.010     3422.93    3418.70    3084.91
32.290     3370.72    3366.49    3032.70
32.563     3401.08    3396.85    3063.15
32.852     3456.68    3452.45    3118.78
33.144     3468.40    3464.17    3130.51
33.427     3510.57    3506.35    3172.68
33.723     3545.80    3541.58    3207.91
34.021     3618.97    3614.74    3281.09
34.303     3687.39    3683.17    3349.52
34.583     3718.91    3714.69    3381.04
34.861     3750.39    3746.17    3412.52
35.150     3782.14    3777.92    3444.27
35.461     3816.52    3812.29    3478.64
35.775     3852.27    3848.04    3514.39
36.075     3884.64    3880.42    3546.77
36.383     3917.89    3913.67    3580.02
36.704     3952.52    3948.29    3614.64
37.038     3952.64    3948.41    3614.77
37.362     3982.32    3978.09    3644.44
37.667     4011.43    4007.21    3673.56
37.990     4045.49    4041.26    3707.62
38.304     4145.47    4141.25    3807.60
38.608     4153.44    4149.21    3815.57
38.923     4138.29    4134.06    3800.42
39.242     4172.81    4168.58    3834.94
39.547     4185.69    4181.46    3847.82
39.869     4152.70    4148.47    3814.83
40.182     2655.86    2651.65    2318.32
40.447     2655.86    2651.65    2318.32
40.714     2671.57    2665.20    2468.41
ERROR: can't open /proc/2192839/smaps: No such file or directory at ../wss.pl line 226.
