timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
0.201107018,767173,988237,0,2103319,854248,0
0.301893402,9302416,1894685,0,9942318,1681029,0
0.402587128,2601026,876038,0,9821269,458638,0
0.503316263,2177977,307374,0,1159401,469679,0
0.603983695,3102205,970033,0,9085989,858906,0
0.704685146,11061335,573677,0,1798291,826533,0
0.805313888,1053598,304266,0,3276151,167075,0
0.906512748,1573414,209670,0,5370801,149093,0
1.007277431,59571,4722,0,532681,27605,0
1.108060051,18194,2046,0,759323,127169,0
1.208994311,3136,908,0,1097530,42184,0
1.309904417,32147,7706,0,12791,586,0
1.410846106,1587,169,0,433,93,0
1.511774943,747,71,0,440,73,0
1.612682549,554,60,0,230,58,0
1.612682549,68116,7330,0,34272,4852,0
