dbname,seqno,query,exec_time,perf_dev,dev_pcnt,perf_stts,rss,avgrss,vsz,memory,llc_hit,llc_hitm,llc_miss,llc_lookup_stat,llc_hitm_stat,llc_hit_stat,llc_miss_stat,maxrss,avgrss,maxwss,avgrss,ref,maxrss_s,avgrss_s,maxref_s,avgref_s
"SF-100",0,"q01",16686.32,0.00,0.00%,0,17895796,9743250,27634868,100,376622,20398,35500,3545725,252900,83200,83200,21780.64,10648.987012750455,21776.26,10644.785846994535,21455.1,19926.55,10156.282907949791,1183.23,296.39355648535565
"SF-100",0,"q02",4204.42,0.00,0.00%,0,2999324,1928140,6116040,100,66345,4144,6623,31953519,657399,1204152,1204152,2658.66,1583.2341379310344,2654.45,1578.9924137931034,2387.53,2662.79,1566.1373484848484,865.83,39.02780303030303
"SF-100",0,"q03",7363.55,0.00,0.00%,0,17230760,12222300,35807812,100,815588,65322,97629,81067709,4460832,3897278,3897278,16014.52,10325.491874229347,16010.09,10321.240184956843,15688.73,16014.94,9987.197266288951,2768.55,98.92533994334278
"SF-100",0,"q04",6379.70,0.00,0.00%,0,11441892,5621100,20162108,100,216250,14198,33115,20319379,2538762,5346737,5346737,13317.85,7046.734238410596,13313.71,7042.5305960264905,12988.34,13530.36,6838.925685483871,1883.92,120.78508064516129
"SF-100",0,"q05",9.92,0.00,0.00%,0,16107068,3340220,29206696,100,815588,65322,97629,402093775,4074439,33918870,33918870,16357.82,7835.522786177105,16353.66,7831.3267602591795,16031.54,17492.54,7512.536365740741,3167.75,92.21546296296296
"SF-100",0,"q06",840.57,0.00,0.00%,0,14535564,5617412,19525792,100,173776,12821,20733,26614883,2568605,16678263,16678263,14549.46,7003.72078125,14545.26,6999.379508928571,14224.15,12241.14,5848.446242937853,640.25,61.322203389830506
"SF-100",0,"q07",2812.22,0.00,0.00%,0,14445000,10203200,27210092,100,1515907,301524,210949,500342931,3771791,40120948,40120948,14448.57,8329.068004115226,14444.28,8324.733251028807,14122.61,14613.64,8198.668431876607,1585.19,111.67570694087404
"SF-100",0,"q08",8079.67,0.00,0.00%,0,18941960,9603890,33578008,100,623575,41752,73583,492169085,3853478,4308420,4308420,18492.41,8221.736673427991,18488.04,8217.312596348884,18167.96,18502.05,8840.23145054945,3000.91,89.14916483516484
"SF-100",0,"q09",30777.38,0.00,0.00%,0,9413924,1861550,37885896,100,1433599,93988,166747,1753809295,10971579,127129332,127129332,8503.25,4855.805826494725,8498.91,4851.423892145369,8177.13,9165.5,4677.5342553191485,1508.21,56.79036879432624
"SF-100",0,"q10",3063.13,0.00,0.00%,0,10211724,7811640,28221300,100,534436,38776,76227,45408661,3719632,17948037,17948037,10090.31,5728.305156862745,10086.02,5723.964117647059,9764.39,9774.15,5690.990902255639,2298.62,76.58300751879699
