timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_LOOKUP,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_LOOKUP
0.401012344,923,0,237594,0
0.601742051,44933,0,0,0
0.802423522,3856,0,147382,0
1.002989577,391,0,39204,0
1.203665014,2845,0,1726,0
1.404245079,85,0,561,0
1.604791451,7806,0,447,0
1.805431253,2160,0,29062,0
2.006018327,2954,0,27594,0
2.206809353,749,0,99,0
2.407569200,6716,0,2239,0
2.608361196,723,0,248,0
2.809132162,460,0,498,0
3.009735491,749,0,25379,0
3.210542450,156000,0,441748,0
3.411094752,32775,0,102984,0
3.411094752,2038,0,419,0
