timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
0.201046939,5046140,263113,0,6918069,387747,0
0.301924844,4940953,182891,0,5116291,166724,0
0.402675484,5114027,219761,0,5263556,166883,0
0.504258888,8987045,1032185,0,7442230,867026,0
0.606211284,10689438,1357835,0,8843263,1326428,0
0.707702283,12307244,3072267,3,14987475,3391608,0
0.808515378,8961028,3291832,0,14038588,4184796,0
0.909178078,5396067,166913,0,3179134,588823,0
1.009693962,9711,2408,0,3208216,315279,0
1.110230119,71989,5265,0,2183407,260461,0
1.210875618,7382,2277,0,521843,54305,0
1.311491184,265,360,0,531427,67311,0
1.412082173,37329,4308,0,436057,35163,0
1.512679976,16306,2110,0,540651,53457,0
1.613325181,20117,3011,0,455634,46449,0
1.713952756,13641,2160,0,544101,59319,0
1.814620689,12248,2038,0,556053,69634,0
1.915310604,520,228,0,521711,69038,0
2.015851153,65225,3876,0,476304,40201,0
2.116542681,52623,4684,0,430572,47395,0
2.217186753,19978,1963,0,548850,55747,0
2.317757528,18011,2813,0,450071,42442,0
2.418346358,3311,1037,0,550737,68244,0
2.518983880,304,379,0,529927,76429,0
2.619633789,1527,1396,0,520236,67269,0
2.720326898,20717,2669,0,494130,45184,0
2.821035372,13049,2216,0,498498,56234,0
2.921847067,12402,1913,0,532469,57986,0
3.022471119,10656,1517,0,479994,61499,0
3.123121595,60474,3083,0,426849,27119,0
3.223827083,11167,1557,0,505927,43121,0
3.324419220,23849,3019,0,502590,43971,0
3.425201851,1673327,223523,0,5401582,512533,0
3.525837859,2930820,359201,0,7960110,750321,0
3.626451850,1176719,305601,0,4464953,698626,0
3.727134721,852792,311312,0,3845054,577042,0
3.827791061,855698,416754,0,3148203,521385,0
3.928450620,846568,405417,0,3117368,512815,1
4.029196933,784139,403695,0,3150353,482643,0
4.129815812,858658,348354,0,2597889,429353,0
4.230417498,921376,360036,0,2785616,441099,0
4.331289092,601314,520654,0,4592669,388688,1
4.431907896,61102,607014,0,6826478,422563,0
4.532547460,9997,8068,0,535663,74052,0
4.633157974,13927,4134,0,81022,59821,0
4.733793952,514,380,0,167833,117664,0
4.835603610,8199367,1035556,0,6129847,960458,0
4.936761891,10368828,1246459,0,7806996,1050772,0
5.038813915,10361825,1238926,0,7966189,1046427,0
5.139856294,10872359,1287020,0,8051375,1114200,0
5.240679620,3354441,1111988,0,11014922,1523548,0
5.341548532,6924655,742655,2,2753149,1043923,0
5.442432019,10991860,624840,0,12706646,623915,2
5.543062034,4454528,23751,0,6535929,66590,0
5.644199034,8930869,7902,0,3263488,1724,0
5.745399689,11992001,31128,0,5395169,71832,0
5.846113240,9021407,52329,0,7708054,22982,0
5.946920001,10116456,131998,0,4461432,136589,0
6.050769232,11140783,567659,0,7203708,824758,0
6.151410911,1303899,65925,0,4333619,63280,0
6.252162188,4170479,337301,0,2007838,286795,0
6.352809664,7345350,573635,0,8832001,533625,0
6.454028670,1194763,327874,0,4697989,310696,0
6.554626086,1305294,174584,0,6266129,246272,0
6.655204743,1178679,365252,0,5627302,301648,0
6.755851550,7019743,862857,0,14093048,641609,1
6.856459290,7731859,477422,0,4802338,361910,0
6.957182157,3063992,124719,0,1480770,121667,0
7.057780454,52046,4781,0,326684,12928,0
7.158390593,2464,352,0,5913,58,0
7.259094592,233,101,0,1918,89,0
7.359906704,477,176,0,27557,302,0
7.460507978,304,163,0,631,169,0
7.460507978,6760,1571,0,23748,1687,0
