Watching PID 270809 page references for every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.211       459.50     454.94       2.89
0.207       459.50     454.94       2.43
0.206       459.50     454.94       0.24
0.207       459.50     454.94       0.24
0.208       459.50     454.94       0.24
0.209       459.50     454.94       0.24
0.210       459.50     454.94       0.24
0.210       459.50     454.94       0.24
0.210       459.50     454.93       2.08
0.214       505.50     500.81      61.24
0.221       700.58     695.88     197.71
0.224       725.27     720.57      32.80
0.223       752.96     748.27      36.22
0.224       778.34     773.64      34.04
0.225       803.77     799.07      34.18
0.226       829.27     824.62      36.24
0.225       854.51     849.88      36.17
0.228       880.21     875.59      34.58
0.228       906.08     901.45      34.80
0.230       932.09     927.46      35.01
0.230       958.26     953.63      35.15
0.229       984.34     979.71      35.03
0.232      1010.59    1005.96      35.33
0.240      1217.96    1213.34      36.78
0.242      1241.58    1236.96      33.08
0.243      1426.67    1422.05     167.58
0.246      1454.11    1449.49      34.20
0.247      1481.67    1477.05      34.25
0.248      1509.42    1504.80      34.42
0.247      1536.67    1532.05      33.75
0.249      1564.55    1559.92      34.52
0.251      1592.80    1588.17      34.82
0.251      1621.05    1616.42      34.64
0.251      1649.17    1644.55      34.80
0.245      1677.42    1672.80      34.79
0.249      1836.30    1831.67      35.31
0.251      1865.05    1860.42      35.32
0.247      1892.80    1888.17      35.24
0.254      1921.42    1916.80      35.34
0.250      1950.05    1945.42      35.31
0.255      1978.80    1974.17      35.45
0.255      2007.42    2002.80      35.43
0.256      2036.30    2031.67      35.56
0.256      2065.23    2060.61      35.63
0.257      2094.17    2089.55      35.72
0.257      2123.17    2118.55      35.69
0.258      2151.80    2147.17      35.05
0.257      2320.55    2315.92      36.22
0.253      2349.17    2344.55      36.25
0.261      2378.80    2374.17      36.36
0.262      2408.67    2404.05      36.64
0.262      2438.55    2433.92      36.64
0.260      2468.67    2464.05      36.89
0.252      1823.26    1818.64      38.79
0.241      1850.82    1846.20      36.86
0.241      1878.45    1873.83      36.88
0.242      2065.60    2060.98     215.45
0.243      1891.95    1887.33     120.80
0.239      2336.25    2331.63     622.82
0.248      3944.69    3940.06    1597.03
0.274      5809.23    5804.60    1744.42
0.286      7186.58    7181.96    1466.02
0.350      9228.75    9224.12    1935.43
0.383     10719.89   10715.27    1352.54
0.377     11934.73   11930.10    1241.02
0.449     11921.08   11916.46     980.32
0.460     11952.41   11947.79     744.20
0.403     12457.61   12452.99     881.18
0.419     12630.66   12626.04     950.57
0.490     12671.47   12666.85    1640.69
0.490     12660.90   12656.28    2228.04
0.501     12773.56   12768.94    1896.42
0.500     12932.21   12927.59    1159.15
0.895     12677.48   12677.48     644.85
ERROR: can't open /proc/270809/clear_refs (older kernel?): No such file or directory at ../wss.pl line 203.
