timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
0.202324095,2820216,214787,0,1667813,168301,0
0.303038314,2054990,101155,0,2486583,100750,0
0.403770036,1419,477,0,888437,46167,0
0.504407585,387911,46966,0,649749,23166,0
0.605270434,539112,2899,0,103455,5353,0
0.706611340,69860,1991,0,76419,6183,0
0.807549982,368160,22092,0,78847,10645,0
0.908475121,115467,9320,0,71656,9825,0
1.009385497,122206,3059,0,56885,7042,0
1.110292165,288260,18275,0,105811,20578,0
1.211187768,92982,7483,0,127359,24257,0
1.312072561,57411,3678,0,64545,7427,0
1.412847837,152455,4483,0,74124,8060,0
1.513748420,80972,3170,0,45336,4301,0
1.614621391,148889,5402,0,41333,3239,0
1.715286410,348422,9405,0,23939,3230,0
1.816202226,3031,332,0,2447,156,0
1.917130143,809,68,0,2334,101,0
2.018060280,510,41,0,401,64,0
2.118964859,5265,239,0,16004,142,0
2.118964859,18860,4765,0,46134,3505,0
