Watching PID 4044740 page references for every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.216       458.92     454.54       0.24
0.207       458.92     454.54       0.24
0.207       458.92     454.54       0.24
0.208       458.92     454.54       0.24
0.209       458.92     454.54       0.24
0.209       458.92     454.54       0.24
0.210       458.92     454.54       0.24
0.211       458.92     454.54       0.24
0.212       459.19     454.73       3.65
0.230      1203.54    1199.02     750.71
0.250      1545.22    1540.70     344.04
0.255      1590.69    1586.17      56.03
0.259      1776.22    1771.70     236.99
0.261      1835.09    1830.57     179.18
0.263      1867.96    1863.44      37.36
0.266      1899.49    1894.97      37.44
0.271      2148.84    2144.32     284.03
0.276      2646.02    2641.50     528.48
0.270      2717.25    2712.73     253.29
0.275      2753.39    2748.87      39.89
0.265      2785.30    2780.78      38.61
0.276      2813.35    2808.83      39.79
0.290      2841.35    2836.83      39.53
0.288      2869.58    2865.06      38.42
0.276      3119.50    3114.98     286.96
0.273      3263.22    3258.70     201.55
0.273      3293.75    3289.23     146.31
0.275      3323.20    3318.68      39.20
0.277      3348.33    3343.81      39.81
0.281      3374.82    3370.30      39.65
0.284      3401.67    3397.15      39.98
0.283      3428.10    3423.58      39.32
0.282      3454.64    3450.12      39.41
0.279      3480.76    3476.24      39.16
0.280      3508.03    3503.51      39.57
0.281      3534.79    3530.27      39.70
0.281      3561.88    3557.36      39.33
0.281      3593.34    3588.82      44.02
0.286      3925.96    3921.44     361.68
0.312      4215.01    4210.49     379.87
0.319      4409.95    4405.43     203.82
0.324      4414.61    4410.09      46.12
0.323      4444.78    4440.26      45.15
0.332      4662.44    4657.92     250.61
0.314      5023.07    5018.55     442.45
0.352      5375.12    5370.60     442.35
0.361      5800.42    5795.90     515.03
0.337      6158.33    6153.81     491.71
0.349      6541.45    6536.93     502.51
0.350      6682.15    6677.63     256.89
0.355      6684.89    6680.37      44.33
0.386      6702.75    6698.23      38.10
0.395      6617.80    6613.28      46.53
0.396      6641.65    6637.13      46.12
0.375      6665.05    6660.53      46.18
0.389      6686.88    6682.36      46.79
0.360      6709.42    6704.90      43.59
0.372      6729.88    6725.36      45.89
0.361      6751.20    6746.68      45.55
0.389      6772.35    6767.83      46.91
0.355      6795.11    6790.59      44.37
0.392      6815.86    6811.34      46.70
0.407      6839.50    6834.98      46.91
0.454      6863.57    6859.05      47.25
0.416      6886.14    6881.62      47.02
0.456      6909.67    6905.15      47.35
0.418      6931.51    6926.99      43.97
0.357      6950.85    6946.33      44.38
0.356      6969.82    6965.30      43.61
0.372      6991.33    6986.81      47.09
0.365      7011.83    7007.31      45.59
0.360      7031.19    7026.67      44.27
0.361      7051.08    7046.56      44.43
0.360      7070.26    7065.74      44.18
0.359      7089.91    7085.40      44.37
0.402      7110.98    7106.47      48.05
0.466      7135.41    7130.90      47.84
0.401      7158.38    7153.86      46.66
0.403      7179.01    7174.49      47.93
0.413      7203.53    7199.01      48.38
0.378      7225.31    7220.79      45.38
0.364      7245.91    7241.39      44.58
0.406      7267.74    7263.22      48.21
0.473      7291.64    7287.12      47.98
0.474      7315.15    7310.63      45.94
0.476      7366.36    7361.84     118.98
0.485      7420.03    7415.51     123.83
0.487      7541.27    7536.75     403.33
0.490      7574.30    7569.78     143.20
0.458      7591.23    7586.71      75.90
0.377      7604.85    7600.33      74.40
0.391      7619.32    7614.80      76.13
0.415      7632.82    7628.30      77.27
0.464      7640.77    7636.25      79.45
0.374      7654.56    7650.04      74.90
0.413      7665.76    7661.24      79.51
0.429      7682.93    7678.41      78.59
0.454      7700.74    7696.22      76.23
0.424      7670.46    7665.94      85.68
0.382      7740.77    7736.25     103.35
0.386      7734.07    7729.55     104.70
0.424      7774.07    7769.55     152.37
0.414      7828.73    7824.21     536.80
0.479      7682.71    7678.19     461.00
0.477      7653.36    7648.83     316.17
0.483      7762.85    7758.33     319.44
0.480      7912.97    7908.45     384.95
0.448      7963.91    7959.39      93.23
0.384      8014.04    8009.52      93.41
0.379      8063.17    8058.65      90.79
0.384      8092.71    8088.19      91.04
0.378      8093.73    8089.21      88.36
0.386      8094.52    8090.00      92.09
0.380      8097.78    8093.26     123.09
0.382      8093.64    8089.12      87.10
0.395      8089.33    8084.81     121.86
0.388      8062.57    8058.05     115.81
0.486      7909.31    7904.79     242.63
0.425      7982.92    7978.40     267.89
0.384      8018.54    8014.02     292.34
0.391      8092.88    8088.36     205.78
0.388      7959.08    7954.56     191.39
0.385      8038.39    8033.87      88.37
0.387      8116.97    8112.45     103.44
0.392      8124.22    8119.70     134.56
0.392      8124.62    8120.10      65.54
0.386      8125.05    8120.53      63.84
0.382      8124.96    8120.44      63.44
0.382      8125.04    8120.51      63.36
0.390      8104.92    8100.40     107.64
0.390      8125.71    8121.19      95.50
0.391      8116.10    8111.58      60.16
0.391      8126.18    8121.66      57.61
0.388      8125.70    8121.18      57.29
0.384      8125.49    8120.97      57.27
0.387      8125.41    8120.89      57.18
0.384      8109.05    8104.53      50.63
0.385      8124.54    8120.02      48.66
0.385      8123.95    8119.43      48.13
0.387      8124.16    8119.64      48.40
0.390      8124.52    8120.00      48.84
0.392      8123.98    8119.46      48.81
0.387      8178.95    8174.43      87.93
0.386      8116.18    8111.66     221.53
0.391      8115.81    8111.29     110.34
0.389      8115.75    8111.23     109.37
0.391      8117.29    8112.76     109.23
0.391      8082.14    8077.62     136.19
0.402      8053.52    8049.00     304.47
0.386      7727.50    7722.98     633.10
0.379      7312.67    7308.15     470.24
0.372      7356.67    7352.15     114.73
0.373      7329.16    7324.64     104.73
0.369      7286.18    7281.66     135.63
0.372      6827.70    6823.18     321.05
0.361      6368.26    6363.74     428.44
0.353      6412.82    6408.30     106.29
0.358      6591.56    6587.04     279.78
0.367      7058.09    7053.57     503.02
0.387      7766.72    7762.20     469.74
0.397      8120.70    8116.18    2011.03
0.392      6762.27    6757.75     300.02
0.365      6762.27    6757.75     285.96
0.365      6762.27    6757.75     236.13
0.369      6762.27    6757.75     292.36
0.371      6762.27    6757.75     303.79
0.365      6762.27    6757.75     298.53
0.380      7261.75    7257.23     558.15
0.368      6762.27    6757.75      69.08
0.367      6764.46    6759.94      69.81
0.353      4900.59    4896.07    1133.04
0.308      3963.52    3959.00     480.57
0.316      4463.86    4459.34     436.09
0.331      4887.06    4882.54     357.68
0.343      5472.19    5467.67     459.27
0.363      6121.88    6117.36     510.06
0.365      6102.21    6097.69     116.35
0.370      6102.21    6097.69     142.27
0.367      6102.21    6097.69     168.03
0.368      6102.21    6097.69     194.80
0.372      6102.21    6097.69     222.32
0.368      6102.21    6097.69     249.57
0.366      6102.21    6097.69     276.08
0.368      6102.21    6097.69     303.13
0.366      6102.21    6097.69     329.62
0.370      6102.21    6097.69     356.57
0.365      6102.21    6097.69     382.95
0.372      6102.21    6097.69     410.50
0.366      6102.21    6097.69     436.18
0.330      4712.37    4707.85     454.56
0.312      4712.37    4707.85     473.71
0.315      4712.37    4707.85     492.67
0.315      4712.37    4707.85     510.88
0.318      4712.37    4707.85     529.40
0.315      4712.37    4707.85     545.15
0.314      4712.37    4707.85     559.45
0.314      4712.37    4707.85     573.74
0.315      4712.37    4707.85     588.55
0.312      4712.37    4707.85     599.84
0.322      4712.37    4707.85     613.95
0.315      4712.37    4707.85     626.52
0.314      4712.37    4707.85     633.73
0.313      4712.37    4707.85     640.12
0.312      4712.37    4707.85     648.04
0.315      4712.37    4707.85     653.48
0.320      4712.37    4707.85     666.24
0.316      4712.37    4707.85     669.69
0.315      4712.37    4707.85     673.68
0.312      4712.37    4707.85     678.91
0.312      4712.37    4707.85     680.69
0.315      4712.37    4707.85     686.40
0.316      4712.37    4707.85     689.05
0.318      4712.37    4707.85     697.62
0.313      4655.12    4650.60     694.71
0.312      4655.12    4650.60     700.19
0.319      4655.12    4650.60     701.50
0.358      4655.12    4650.60     706.46
0.345      4655.12    4650.60     702.56
0.311      4655.12    4650.60     701.44
0.312      4655.12    4650.60     702.86
0.315      4655.12    4650.60     708.96
0.317      4655.12    4650.60     712.07
0.318      4655.12    4650.60     710.80
0.312      4655.12    4650.60     698.64
0.313      4655.12    4650.60     707.87
0.318      4655.12    4650.60     716.22
0.310      4655.12    4650.60     709.29
0.312      4655.12    4650.60     708.29
0.318      4655.12    4650.60     718.47
0.317      4655.12    4650.60     718.02
0.351      4655.12    4650.60     715.11
0.350      4655.12    4650.60     717.26
0.350      4655.12    4650.60     717.09
0.316      4655.12    4650.60     719.52
0.314      4655.12    4650.60     716.50
0.314      4655.12    4650.60     713.30
0.312      4655.12    4650.60     711.89
0.310      4655.12    4650.60     709.91
0.310      4655.12    4650.60     712.41
0.310      4655.12    4650.60     706.52
0.311      4655.12    4650.60     710.74
0.310      4655.12    4650.60     708.30
0.313      4655.12    4650.60     712.16
0.313      4655.12    4650.60     712.87
0.311      4655.12    4650.60     711.02
0.312      4655.12    4650.60     710.94
0.310      4655.12    4650.60     710.74
0.315      4655.12    4650.60     715.57
0.321      4655.12    4650.60     685.14
0.311      4655.12    4650.60     713.17
0.313      4655.12    4650.60     713.07
0.312      4655.12    4650.60     712.24
0.312      4655.12    4650.60     689.21
0.318      4655.12    4650.60     710.42
0.313      4655.12    4650.60     710.86
0.314      4655.12    4650.60     711.47
0.316      4655.12    4650.60     640.54
0.315      4655.12    4650.60     515.34
0.314      3986.43    3981.91     508.87
0.292      2722.20    2717.68       3.03
0.265      2836.64    2832.12     175.98
0.270      2836.64    2832.12     123.59
0.266      2836.64    2832.12     132.12
0.268      2836.64    2832.12     134.48
0.268      2836.64    2832.12     134.43
0.271      2836.64    2832.12     138.86
0.268      2836.64    2832.12     136.28
0.269      2836.64    2832.12     136.66
0.272      2836.64    2832.12     140.69
0.267      2836.64    2832.12     139.56
0.267      2836.64    2832.12     139.54
0.269      2836.64    2832.12     140.36
0.267      2836.64    2832.12     133.07
0.268      2836.64    2832.12     138.71
0.266      2836.64    2832.12     139.01
0.267      2836.64    2832.12     139.38
0.267      2836.64    2832.12     141.30
0.268      2836.64    2832.12     140.80
0.266      2836.64    2832.12     139.44
0.268      2836.64    2832.12     141.09
0.269      2836.64    2832.12     141.04
0.270      2836.64    2832.12     142.58
0.268      2836.64    2832.12     141.10
0.266      2836.64    2832.12     140.30
0.266      2836.64    2832.12     140.74
0.265      2836.64    2832.12     141.01
0.268      2836.64    2832.12     141.28
0.266      2836.64    2832.12     142.10
0.268      2836.64    2832.12     142.36
0.268      2836.64    2832.12     140.37
0.267      2836.64    2832.12     140.41
0.267      2836.64    2832.12     413.90
0.253      1478.16    1473.64       2.44
0.235      1478.16    1473.64    1143.31
0.246       439.60     435.08     254.42
0.215       439.60     435.08     136.84
0.214       316.98     312.46     125.74
0.210       202.74     198.22     127.47
0.206        88.83      84.39       4.72
0.205        88.83      84.39       0.24
0.206        88.83      83.18       3.36
0.206       119.43     113.16      47.05
0.207       159.89     152.98      39.90
0.209       199.50     192.60      39.37
0.209       238.70     231.80      38.54
0.209       278.88     271.98      41.42
0.211       315.27     308.37      62.02
0.213       356.16     349.08      47.90
0.215       395.99     388.79      71.36
ERROR: can't open /proc/4044740/smaps: No such file or directory at ../wss.pl line 226.
