Watching PID 2146268 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.209       386.11     381.93       2.67
0.422       386.11     381.93       2.67
0.633       386.11     381.93       2.67
0.844       386.11     381.93       2.67
1.056       386.11     381.93       2.67
1.267       386.11     381.93       2.67
1.479       386.11     381.93       2.67
1.693       386.11     381.93       2.67
1.914       386.11     381.93       2.67
2.131       386.94     382.67       6.60
2.348       392.98     388.66      18.11
2.569       406.61     402.29      31.92
2.785       432.12     427.80      57.66
3.001       455.62     451.29      81.16
3.217       478.99     474.67     104.53
3.435       502.46     498.13     128.00
3.653       526.29     521.97     151.83
3.871       550.30     545.97     175.84
4.093       578.00     573.68     203.58
4.324       614.33     610.01     239.93
4.551       663.31     658.99     288.91
4.773       694.24     689.92     319.85
5.001       719.75     715.43     345.36
5.235       742.98     738.65     368.58
5.469       747.05     742.73     372.66
5.694       749.87     745.54     375.48
5.918       753.82     749.50     379.43
6.143       757.21     752.88     382.82
6.369       761.27     756.94     386.88
6.594       765.11     760.79     390.72
6.820       768.96     764.64     394.57
7.050       772.15     767.83     397.76
7.282       774.54     770.22     400.15
7.512       779.23     774.91     404.84
7.745       793.53     789.21     419.19
7.982       809.96     805.64     435.62
8.222       836.59     832.27     462.25
8.463       863.71     859.39     489.38
8.707       891.34     887.02     517.00
8.953       918.21     913.89     543.88
9.198       946.34     942.02     572.02
9.444       986.60     982.28     612.38
9.689      1009.11    1004.78     634.88
9.937      1036.05    1031.73     661.83
10.187     1061.81    1057.49     687.65
10.436     1087.61    1083.28     713.45
10.690     1113.54    1109.22     739.38
10.937     1139.31    1134.99     765.15
11.176     1164.02    1159.70     790.01
11.414     1181.54    1177.22     807.67
11.651     1194.08    1189.76     820.36
11.888     1200.21    1195.88     826.48
12.125     1202.62    1198.26     829.12
12.360     1202.62    1198.26     829.12
12.594     1202.62    1198.19     829.36
12.825      868.07     861.63     855.76
ERROR: can't open /proc/2146268/smaps: No such file or directory at ../wss.pl line 226.
