Watching PID 502243 page references grow, output every 0.2 seconds...
Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.207       350.87     348.34     276.23
0.423       673.02     670.49     598.67
0.644       714.05     708.91     642.83
0.871       714.05     708.69     643.61
1.096       714.05     708.25     643.61
1.321       714.05     708.03     643.61
1.546       714.05     707.84     643.61
1.772       714.05     707.63     643.61
1.999       714.05     707.41     643.61
2.225       714.05     707.19     643.61
2.450       714.05     706.97     643.61
2.675       714.05     706.75     643.61
2.902       714.05     706.34     643.61
3.127       714.05     706.13     643.76
3.351       714.05     705.91     643.76
3.574       714.05     705.69     643.76
3.797       714.05     705.47     643.76
4.020       714.05     705.28     643.76
4.244       714.05     705.06     643.76
4.468       714.05     704.84     643.76
4.692       714.05     704.63     643.76
4.917       714.05     704.19     643.76
5.146       714.05     704.00     643.25
5.373       714.05     703.78     643.25
5.599       714.05     703.56     643.25
5.825       714.05     703.34     643.25
6.048       714.05     703.13     643.25
6.271       714.05     702.91     643.25
6.494       714.05     702.72     643.25
6.718       714.05     702.28     643.25
6.940       714.05     702.06     643.25
7.167       714.05     701.84     643.25
7.399       714.05     701.66     643.25
7.631       714.05     701.44     643.25
7.859       714.05     701.22     643.25
8.083       714.05     701.00     643.25
8.305       714.05     700.78     643.25
8.527       714.05     700.38     643.25
8.749       714.05     700.16     643.25
8.971       714.05     699.94     643.25
9.193       714.05     699.72     643.25
9.414       714.05     699.50     643.25
9.637       714.05     699.28     643.25
9.862       714.05     699.09     643.26
10.090      714.05     698.88     643.26
10.316      714.05     698.66     643.26
10.541      714.05     698.22     643.26
10.763      714.05     698.00     643.26
10.987      714.05     697.81     643.26
11.212      714.05     697.59     643.26
11.438      714.05     697.38     643.26
11.667      714.05     697.16     643.26
11.897      714.05     696.94     643.26
12.126      714.05     696.53     643.26
12.354      714.05     696.31     643.26
12.583      714.05     696.09     643.26
12.811      714.05     695.88     643.26
13.039      714.05     695.66     643.26
13.268      714.05     695.47     643.26
13.496      714.05     695.25     643.26
13.724      714.05     695.03     643.26
13.951      714.05     694.59     643.26
14.176      714.05     694.38     643.26
14.400      714.05     694.19     643.26
14.622      714.05     693.97     643.26
14.843      714.05     693.75     643.26
15.066      714.05     693.53     643.26
15.279        6.17       3.65       4.72
ERROR: can't open /proc/502243/smaps: No such file or directory at /scratchNVME/pg-tpch/wss.pl line 226.
